City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
458,Tsabong,BW,79.09,few clouds,-26.0217,22.401,Springbok Motel
464,Paita,PE,79.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
466,Kihei,US,79.86,scattered clouds,20.785,-156.4656,Maui Sunset
467,Jacareacanga,BR,77.72,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
470,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
473,Pak Phanang,TH,76.23,scattered clouds,8.3511,100.202,Green Park Inn Hotel
477,Ternate,ID,79.3,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
479,Kudahuvadhoo,MV,80.13,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
482,Riohacha,CO,84.31,few clouds,11.5444,-72.9072,Hotel Taroa
484,Waingapu,ID,77.76,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
485,Manoel Urbano,BR,83.48,light rain,-8.8389,-69.2597,Baixada Beira Rio
490,Copala,MX,84.29,clear sky,16.65,-98.9833,Kaak Naab Playa Ventura
493,Linguere,SN,79.97,overcast clouds,15.3953,-15.1193,AYO Casablanca
495,Chirongui,YT,78.73,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
503,Kirakira,SB,80.67,light rain,-10.4544,161.9205,SanBiz Lodge
505,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
508,Macapa,BR,78.78,mist,0.0389,-51.0664,Atalanta Hotel
518,Akropong,GH,77.95,broken clouds,5.9746,-0.0854,Vip Lodge
519,Palora,EC,82.38,light rain,-1.7,-77.9333,Rancho grande
521,Cairns,AU,76.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
535,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
538,Pozo Colorado,PY,86.77,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
541,Mogadishu,SO,77.05,broken clouds,2.0371,45.3438,Hotel Juba
542,Nabire,ID,75.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
543,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
548,Sechura,PE,78.31,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
553,Conde,BR,80.06,moderate rain,-7.2597,-34.9075,Pousada Beija Flor
560,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
567,Sumenep,ID,77.59,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
572,Bubaque,GW,77.99,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
573,Timbiqui,CO,75.15,light rain,2.7717,-77.6654,hotel diana
579,Vanimo,PG,75.88,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
581,Necochea,AR,80.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
585,Iralaya,HN,82.49,scattered clouds,15.0,-83.2333,Iglesia morava renovada
586,Omboue,GA,78.48,overcast clouds,-1.5746,9.2618,Hotel Olako
588,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
591,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
597,Acari,PE,78.42,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
601,Nacajuca,MX,81.01,scattered clouds,18.1333,-93.0167,Hotel la hoguera
603,Planaltina,BR,77.29,overcast clouds,-15.4528,-47.6142,Retiro Maranata
604,Pizarro,CO,79.68,light rain,4.9533,-77.366,Hotel Limonar
611,Kapoeta,SS,83.77,clear sky,4.7717,33.5903,Eastgate Hotel
614,Gizo,SB,82.33,overcast clouds,-8.103,156.8419,Imagination Island
620,Carolina,PR,84.72,few clouds,18.3808,-65.9574,Motel Fantasy Star
626,Namatanai,PG,80.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
635,Solana Beach,US,75.72,clear sky,32.9912,-117.2711,Hilton San Diego/Del Mar
637,Estancia,BR,81.88,broken clouds,-11.2683,-37.4383,Tropical Hotel
638,Rock Sound,BS,76.44,overcast clouds,24.9,-76.2,Pink Corral Bay Property
640,Santarem,BR,80.73,light rain,-2.4431,-54.7083,Ecotur Lodge
642,Inhambane,MZ,76.24,clear sky,-23.865,35.3833,Oceano
644,Nhulunbuy,AU,81.21,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
645,Katobu,ID,75.61,overcast clouds,-4.9408,122.5276,La Ode Husein
651,Black River,JM,82.4,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
669,Saint-Joseph,RE,75.56,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
679,Minna,NG,82.11,haze,9.6139,6.5569,Royal Park hotel & suites
