City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
324,San Borja,BO,-14.8167,-66.85,80.04,74,97,0.72,overcast clouds
325,Bani Walid,LY,31.7566,13.9942,48.69,47,0,7.65,clear sky
326,Anadyr,RU,64.75,177.4833,-5.3,84,20,4.47,few clouds
327,Umm Lajj,SA,25.0213,37.2685,62.01,51,3,13.51,clear sky
328,Nogales,MX,31.3086,-110.9422,61.36,17,0,13.8,clear sky
329,Aklavik,CA,68.2191,-135.0107,-19.37,69,20,2.3,few clouds
330,Pengcheng,CN,36.4311,114.17,31.41,60,57,0.78,broken clouds
331,Nome,US,64.5011,-165.4064,-16.53,63,0,6.91,clear sky
332,Placido De Castro,BR,-10.3353,-67.1856,86.23,64,90,2.46,overcast clouds
333,Serenje,ZM,-13.2325,30.2352,62.94,97,100,3.96,light rain
334,Mosetse,BW,-20.75,26.65,69.48,90,100,6.93,overcast clouds
335,Lamar,US,33.6668,-95.5836,55.98,32,0,19.57,clear sky
336,Pattoki,PK,31.0167,73.85,48.07,49,0,3.33,clear sky
337,Ancud,CL,-41.8697,-73.8203,78.33,60,0,9.53,clear sky
338,Klaksvik,FO,62.2266,-6.589,43.72,82,88,24.4,overcast clouds
339,Barao De Melgaco,BR,-16.1944,-55.9675,86.52,88,100,3.02,light rain
340,Gander,CA,48.9682,-54.5906,24.93,68,100,17.0,overcast clouds
341,Carnarvon,AU,-24.8667,113.6333,69.87,94,0,6.91,clear sky
342,Elko,US,41.0002,-115.5012,36.05,30,0,2.15,clear sky
343,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,62,20,16.11,few clouds
344,Mushie,CD,-3.0167,16.9,77.85,63,100,3.4,overcast clouds
345,Mendeleyevsk,RU,55.9082,52.2905,11.44,95,100,6.08,snow
346,Nioro,GM,13.35,-15.75,79.39,26,35,7.76,scattered clouds
